,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,GroupId,GroupSize,IsAlone,Deck,Num,Side
0,0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,0001,1,1,B,0,P
1,0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,0.0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,0002,1,1,F,0,S
2,0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,1.0,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,0003,2,0,A,0,S
3,0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,0.0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,0003,2,0,A,0,S
4,0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,0.0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,0004,1,1,F,1,S
5,0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,0.0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,0005,1,1,F,0,P
6,0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,0.0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,0006,2,0,F,2,S
7,0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,0006,2,0,G,0,S
8,0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,0.0,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,0007,1,1,F,3,S
9,0008_01,Europa,True,B/1/P,55 Cancri e,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,0008,3,0,B,1,P
10,0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,0008,3,0,B,1,P
11,0008_03,Europa,False,B/1/P,55 Cancri e,45.0,0.0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,0008,3,0,B,1,P
12,0009_01,Mars,False,F/1/P,TRAPPIST-1e,32.0,0.0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True,0009,1,1,F,1,P
13,0010_01,Earth,False,G/1/S,TRAPPIST-1e,48.0,0.0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False,0010,1,1,G,1,S
14,0011_01,Earth,False,F/2/P,TRAPPIST-1e,28.0,0.0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True,0011,1,1,F,2,P
16,0014_01,Mars,False,F/3/P,55 Cancri e,27.0,0.0,1286.0,122.0,0.0,0.0,0.0,Flats Eccle,False,0014,1,1,F,3,P
17,0015_01,Earth,False,F/4/P,55 Cancri e,24.0,0.0,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,False,0015,1,1,F,4,P
18,0016_01,Mars,True,F/5/P,TRAPPIST-1e,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,0016,1,1,F,5,P
19,0017_01,Earth,False,G/0/P,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,0017,2,0,G,0,P
20,0017_02,Earth,False,F/6/P,55 Cancri e,14.0,0.0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False,0017,2,0,F,6,P
21,0020_01,Earth,True,E/0/S,TRAPPIST-1e,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,0020,6,0,E,0,S
